date,day,day_name,month,month_name,quarter,year,is_weekend,is_trading_day,financial_year,week_of_year
2023-03-19,19,Sunday,3,March,1,2023,1,0,FY22-23,11
2023-03-20,20,Monday,3,March,1,2023,0,1,FY22-23,12
2023-03-21,21,Tuesday,3,March,1,2023,0,1,FY22-23,12
2023-03-22,22,Wednesday,3,March,1,2023,0,1,FY22-23,12
2023-03-23,23,Thursday,3,March,1,2023,0,1,FY22-23,12
2023-03-24,24,Friday,3,March,1,2023,0,1,FY22-23,12
2023-03-25,25,Saturday,3,March,1,2023,1,0,FY22-23,12
2023-03-26,26,Sunday,3,March,1,2023,1,0,FY22-23,12
2023-03-27,27,Monday,3,March,1,2023,0,1,FY22-23,13
2023-03-28,28,Tuesday,3,March,1,2023,0,1,FY22-23,13
2023-03-29,29,Wednesday,3,March,1,2023,0,1,FY22-23,13
2023-03-30,30,Thursday,3,March,1,2023,0,1,FY22-23,13
2023-03-31,31,Friday,3,March,1,2023,0,1,FY22-23,13
2023-04-01,1,Saturday,4,April,2,2023,1,0,FY23-24,13
2023-04-02,2,Sunday,4,April,2,2023,1,0,FY23-24,13
2023-04-03,3,Monday,4,April,2,2023,0,1,FY23-24,14
2023-04-04,4,Tuesday,4,April,2,2023,0,1,FY23-24,14
2023-04-05,5,Wednesday,4,April,2,2023,0,1,FY23-24,14
2023-04-06,6,Thursday,4,April,2,2023,0,1,FY23-24,14
2023-04-07,7,Friday,4,April,2,2023,0,1,FY23-24,14
2023-04-08,8,Saturday,4,April,2,2023,1,0,FY23-24,14
2023-04-09,9,Sunday,4,April,2,2023,1,0,FY23-24,14
2023-04-10,10,Monday,4,April,2,2023,0,1,FY23-24,15
2023-04-11,11,Tuesday,4,April,2,2023,0,1,FY23-24,15
2023-04-12,12,Wednesday,4,April,2,2023,0,1,FY23-24,15
2023-04-13,13,Thursday,4,April,2,2023,0,1,FY23-24,15
2023-04-14,14,Friday,4,April,2,2023,0,1,FY23-24,15
2023-04-15,15,Saturday,4,April,2,2023,1,0,FY23-24,15
2023-04-16,16,Sunday,4,April,2,2023,1,0,FY23-24,15
2023-04-17,17,Monday,4,April,2,2023,0,1,FY23-24,16
2023-04-18,18,Tuesday,4,April,2,2023,0,1,FY23-24,16
2023-04-19,19,Wednesday,4,April,2,2023,0,1,FY23-24,16
2023-04-20,20,Thursday,4,April,2,2023,0,1,FY23-24,16
2023-04-21,21,Friday,4,April,2,2023,0,1,FY23-24,16
2023-04-22,22,Saturday,4,April,2,2023,1,0,FY23-24,16
2023-04-23,23,Sunday,4,April,2,2023,1,0,FY23-24,16
2023-04-24,24,Monday,4,April,2,2023,0,1,FY23-24,17
2023-04-25,25,Tuesday,4,April,2,2023,0,1,FY23-24,17
2023-04-26,26,Wednesday,4,April,2,2023,0,1,FY23-24,17
2023-04-27,27,Thursday,4,April,2,2023,0,1,FY23-24,17
2023-04-28,28,Friday,4,April,2,2023,0,1,FY23-24,17
2023-04-29,29,Saturday,4,April,2,2023,1,0,FY23-24,17
2023-04-30,30,Sunday,4,April,2,2023,1,0,FY23-24,17
2023-05-01,1,Monday,5,May,2,2023,0,1,FY23-24,18
2023-05-02,2,Tuesday,5,May,2,2023,0,1,FY23-24,18
2023-05-03,3,Wednesday,5,May,2,2023,0,1,FY23-24,18
2023-05-04,4,Thursday,5,May,2,2023,0,1,FY23-24,18
2023-05-05,5,Friday,5,May,2,2023,0,1,FY23-24,18
2023-05-06,6,Saturday,5,May,2,2023,1,0,FY23-24,18
2023-05-07,7,Sunday,5,May,2,2023,1,0,FY23-24,18
2023-05-08,8,Monday,5,May,2,2023,0,1,FY23-24,19
2023-05-09,9,Tuesday,5,May,2,2023,0,1,FY23-24,19
2023-05-10,10,Wednesday,5,May,2,2023,0,1,FY23-24,19
2023-05-11,11,Thursday,5,May,2,2023,0,1,FY23-24,19
2023-05-12,12,Friday,5,May,2,2023,0,1,FY23-24,19
2023-05-13,13,Saturday,5,May,2,2023,1,0,FY23-24,19
2023-05-14,14,Sunday,5,May,2,2023,1,0,FY23-24,19
2023-05-15,15,Monday,5,May,2,2023,0,1,FY23-24,20
2023-05-16,16,Tuesday,5,May,2,2023,0,1,FY23-24,20
2023-05-17,17,Wednesday,5,May,2,2023,0,1,FY23-24,20
2023-05-18,18,Thursday,5,May,2,2023,0,1,FY23-24,20
2023-05-19,19,Friday,5,May,2,2023,0,1,FY23-24,20
2023-05-20,20,Saturday,5,May,2,2023,1,0,FY23-24,20
2023-05-21,21,Sunday,5,May,2,2023,1,0,FY23-24,20
2023-05-22,22,Monday,5,May,2,2023,0,1,FY23-24,21
2023-05-23,23,Tuesday,5,May,2,2023,0,1,FY23-24,21
2023-05-24,24,Wednesday,5,May,2,2023,0,1,FY23-24,21
2023-05-25,25,Thursday,5,May,2,2023,0,1,FY23-24,21
2023-05-26,26,Friday,5,May,2,2023,0,1,FY23-24,21
2023-05-27,27,Saturday,5,May,2,2023,1,0,FY23-24,21
2023-05-28,28,Sunday,5,May,2,2023,1,0,FY23-24,21
2023-05-29,29,Monday,5,May,2,2023,0,1,FY23-24,22
2023-05-30,30,Tuesday,5,May,2,2023,0,1,FY23-24,22
2023-05-31,31,Wednesday,5,May,2,2023,0,1,FY23-24,22
2023-06-01,1,Thursday,6,June,2,2023,0,1,FY23-24,22
2023-06-02,2,Friday,6,June,2,2023,0,1,FY23-24,22
2023-06-03,3,Saturday,6,June,2,2023,1,0,FY23-24,22
2023-06-04,4,Sunday,6,June,2,2023,1,0,FY23-24,22
2023-06-05,5,Monday,6,June,2,2023,0,1,FY23-24,23
2023-06-06,6,Tuesday,6,June,2,2023,0,1,FY23-24,23
2023-06-07,7,Wednesday,6,June,2,2023,0,1,FY23-24,23
2023-06-08,8,Thursday,6,June,2,2023,0,1,FY23-24,23
2023-06-09,9,Friday,6,June,2,2023,0,1,FY23-24,23
2023-06-10,10,Saturday,6,June,2,2023,1,0,FY23-24,23
2023-06-11,11,Sunday,6,June,2,2023,1,0,FY23-24,23
2023-06-12,12,Monday,6,June,2,2023,0,1,FY23-24,24
2023-06-13,13,Tuesday,6,June,2,2023,0,1,FY23-24,24
2023-06-14,14,Wednesday,6,June,2,2023,0,1,FY23-24,24
2023-06-15,15,Thursday,6,June,2,2023,0,1,FY23-24,24
2023-06-16,16,Friday,6,June,2,2023,0,1,FY23-24,24
2023-06-17,17,Saturday,6,June,2,2023,1,0,FY23-24,24
2023-06-18,18,Sunday,6,June,2,2023,1,0,FY23-24,24
2023-06-19,19,Monday,6,June,2,2023,0,1,FY23-24,25
2023-06-20,20,Tuesday,6,June,2,2023,0,1,FY23-24,25
2023-06-21,21,Wednesday,6,June,2,2023,0,1,FY23-24,25
2023-06-22,22,Thursday,6,June,2,2023,0,1,FY23-24,25
2023-06-23,23,Friday,6,June,2,2023,0,1,FY23-24,25
2023-06-24,24,Saturday,6,June,2,2023,1,0,FY23-24,25
2023-06-25,25,Sunday,6,June,2,2023,1,0,FY23-24,25
2023-06-26,26,Monday,6,June,2,2023,0,1,FY23-24,26
2023-06-27,27,Tuesday,6,June,2,2023,0,1,FY23-24,26
2023-06-28,28,Wednesday,6,June,2,2023,0,1,FY23-24,26
2023-06-29,29,Thursday,6,June,2,2023,0,1,FY23-24,26
2023-06-30,30,Friday,6,June,2,2023,0,1,FY23-24,26
2023-07-01,1,Saturday,7,July,3,2023,1,0,FY23-24,26
2023-07-02,2,Sunday,7,July,3,2023,1,0,FY23-24,26
2023-07-03,3,Monday,7,July,3,2023,0,1,FY23-24,27
2023-07-04,4,Tuesday,7,July,3,2023,0,1,FY23-24,27
2023-07-05,5,Wednesday,7,July,3,2023,0,1,FY23-24,27
2023-07-06,6,Thursday,7,July,3,2023,0,1,FY23-24,27
2023-07-07,7,Friday,7,July,3,2023,0,1,FY23-24,27
2023-07-08,8,Saturday,7,July,3,2023,1,0,FY23-24,27
2023-07-09,9,Sunday,7,July,3,2023,1,0,FY23-24,27
2023-07-10,10,Monday,7,July,3,2023,0,1,FY23-24,28
2023-07-11,11,Tuesday,7,July,3,2023,0,1,FY23-24,28
2023-07-12,12,Wednesday,7,July,3,2023,0,1,FY23-24,28
2023-07-13,13,Thursday,7,July,3,2023,0,1,FY23-24,28
2023-07-14,14,Friday,7,July,3,2023,0,1,FY23-24,28
2023-07-15,15,Saturday,7,July,3,2023,1,0,FY23-24,28
2023-07-16,16,Sunday,7,July,3,2023,1,0,FY23-24,28
2023-07-17,17,Monday,7,July,3,2023,0,1,FY23-24,29
2023-07-18,18,Tuesday,7,July,3,2023,0,1,FY23-24,29
2023-07-19,19,Wednesday,7,July,3,2023,0,1,FY23-24,29
2023-07-20,20,Thursday,7,July,3,2023,0,1,FY23-24,29
2023-07-21,21,Friday,7,July,3,2023,0,1,FY23-24,29
2023-07-22,22,Saturday,7,July,3,2023,1,0,FY23-24,29
2023-07-23,23,Sunday,7,July,3,2023,1,0,FY23-24,29
2023-07-24,24,Monday,7,July,3,2023,0,1,FY23-24,30
2023-07-25,25,Tuesday,7,July,3,2023,0,1,FY23-24,30
2023-07-26,26,Wednesday,7,July,3,2023,0,1,FY23-24,30
2023-07-27,27,Thursday,7,July,3,2023,0,1,FY23-24,30
2023-07-28,28,Friday,7,July,3,2023,0,1,FY23-24,30
2023-07-29,29,Saturday,7,July,3,2023,1,0,FY23-24,30
2023-07-30,30,Sunday,7,July,3,2023,1,0,FY23-24,30
2023-07-31,31,Monday,7,July,3,2023,0,1,FY23-24,31
2023-08-01,1,Tuesday,8,August,3,2023,0,1,FY23-24,31
2023-08-02,2,Wednesday,8,August,3,2023,0,1,FY23-24,31
2023-08-03,3,Thursday,8,August,3,2023,0,1,FY23-24,31
2023-08-04,4,Friday,8,August,3,2023,0,1,FY23-24,31
2023-08-05,5,Saturday,8,August,3,2023,1,0,FY23-24,31
2023-08-06,6,Sunday,8,August,3,2023,1,0,FY23-24,31
2023-08-07,7,Monday,8,August,3,2023,0,1,FY23-24,32
2023-08-08,8,Tuesday,8,August,3,2023,0,1,FY23-24,32
2023-08-09,9,Wednesday,8,August,3,2023,0,1,FY23-24,32
2023-08-10,10,Thursday,8,August,3,2023,0,1,FY23-24,32
2023-08-11,11,Friday,8,August,3,2023,0,1,FY23-24,32
2023-08-12,12,Saturday,8,August,3,2023,1,0,FY23-24,32
2023-08-13,13,Sunday,8,August,3,2023,1,0,FY23-24,32
2023-08-14,14,Monday,8,August,3,2023,0,1,FY23-24,33
2023-08-15,15,Tuesday,8,August,3,2023,0,1,FY23-24,33
2023-08-16,16,Wednesday,8,August,3,2023,0,1,FY23-24,33
2023-08-17,17,Thursday,8,August,3,2023,0,1,FY23-24,33
2023-08-18,18,Friday,8,August,3,2023,0,1,FY23-24,33
2023-08-19,19,Saturday,8,August,3,2023,1,0,FY23-24,33
2023-08-20,20,Sunday,8,August,3,2023,1,0,FY23-24,33
2023-08-21,21,Monday,8,August,3,2023,0,1,FY23-24,34
2023-08-22,22,Tuesday,8,August,3,2023,0,1,FY23-24,34
2023-08-23,23,Wednesday,8,August,3,2023,0,1,FY23-24,34
2023-08-24,24,Thursday,8,August,3,2023,0,1,FY23-24,34
2023-08-25,25,Friday,8,August,3,2023,0,1,FY23-24,34
2023-08-26,26,Saturday,8,August,3,2023,1,0,FY23-24,34
2023-08-27,27,Sunday,8,August,3,2023,1,0,FY23-24,34
2023-08-28,28,Monday,8,August,3,2023,0,1,FY23-24,35
2023-08-29,29,Tuesday,8,August,3,2023,0,1,FY23-24,35
2023-08-30,30,Wednesday,8,August,3,2023,0,1,FY23-24,35
2023-08-31,31,Thursday,8,August,3,2023,0,1,FY23-24,35
2023-09-01,1,Friday,9,September,3,2023,0,1,FY23-24,35
2023-09-02,2,Saturday,9,September,3,2023,1,0,FY23-24,35
2023-09-03,3,Sunday,9,September,3,2023,1,0,FY23-24,35
2023-09-04,4,Monday,9,September,3,2023,0,1,FY23-24,36
2023-09-05,5,Tuesday,9,September,3,2023,0,1,FY23-24,36
2023-09-06,6,Wednesday,9,September,3,2023,0,1,FY23-24,36
2023-09-07,7,Thursday,9,September,3,2023,0,1,FY23-24,36
2023-09-08,8,Friday,9,September,3,2023,0,1,FY23-24,36
2023-09-09,9,Saturday,9,September,3,2023,1,0,FY23-24,36
2023-09-10,10,Sunday,9,September,3,2023,1,0,FY23-24,36
2023-09-11,11,Monday,9,September,3,2023,0,1,FY23-24,37
2023-09-12,12,Tuesday,9,September,3,2023,0,1,FY23-24,37
2023-09-13,13,Wednesday,9,September,3,2023,0,1,FY23-24,37
2023-09-14,14,Thursday,9,September,3,2023,0,1,FY23-24,37
2023-09-15,15,Friday,9,September,3,2023,0,1,FY23-24,37
2023-09-16,16,Saturday,9,September,3,2023,1,0,FY23-24,37
2023-09-17,17,Sunday,9,September,3,2023,1,0,FY23-24,37
2023-09-18,18,Monday,9,September,3,2023,0,1,FY23-24,38
2023-09-19,19,Tuesday,9,September,3,2023,0,1,FY23-24,38
2023-09-20,20,Wednesday,9,September,3,2023,0,1,FY23-24,38
2023-09-21,21,Thursday,9,September,3,2023,0,1,FY23-24,38
2023-09-22,22,Friday,9,September,3,2023,0,1,FY23-24,38
2023-09-23,23,Saturday,9,September,3,2023,1,0,FY23-24,38
2023-09-24,24,Sunday,9,September,3,2023,1,0,FY23-24,38
2023-09-25,25,Monday,9,September,3,2023,0,1,FY23-24,39
2023-09-26,26,Tuesday,9,September,3,2023,0,1,FY23-24,39
2023-09-27,27,Wednesday,9,September,3,2023,0,1,FY23-24,39
2023-09-28,28,Thursday,9,September,3,2023,0,1,FY23-24,39
2023-09-29,29,Friday,9,September,3,2023,0,1,FY23-24,39
2023-09-30,30,Saturday,9,September,3,2023,1,0,FY23-24,39
2023-10-01,1,Sunday,10,October,4,2023,1,0,FY23-24,39
2023-10-02,2,Monday,10,October,4,2023,0,1,FY23-24,40
2023-10-03,3,Tuesday,10,October,4,2023,0,1,FY23-24,40
2023-10-04,4,Wednesday,10,October,4,2023,0,1,FY23-24,40
2023-10-05,5,Thursday,10,October,4,2023,0,1,FY23-24,40
2023-10-06,6,Friday,10,October,4,2023,0,1,FY23-24,40
2023-10-07,7,Saturday,10,October,4,2023,1,0,FY23-24,40
2023-10-08,8,Sunday,10,October,4,2023,1,0,FY23-24,40
2023-10-09,9,Monday,10,October,4,2023,0,1,FY23-24,41
2023-10-10,10,Tuesday,10,October,4,2023,0,1,FY23-24,41
2023-10-11,11,Wednesday,10,October,4,2023,0,1,FY23-24,41
2023-10-12,12,Thursday,10,October,4,2023,0,1,FY23-24,41
2023-10-13,13,Friday,10,October,4,2023,0,1,FY23-24,41
2023-10-14,14,Saturday,10,October,4,2023,1,0,FY23-24,41
2023-10-15,15,Sunday,10,October,4,2023,1,0,FY23-24,41
2023-10-16,16,Monday,10,October,4,2023,0,1,FY23-24,42
2023-10-17,17,Tuesday,10,October,4,2023,0,1,FY23-24,42
2023-10-18,18,Wednesday,10,October,4,2023,0,1,FY23-24,42
2023-10-19,19,Thursday,10,October,4,2023,0,1,FY23-24,42
2023-10-20,20,Friday,10,October,4,2023,0,1,FY23-24,42
2023-10-21,21,Saturday,10,October,4,2023,1,0,FY23-24,42
2023-10-22,22,Sunday,10,October,4,2023,1,0,FY23-24,42
2023-10-23,23,Monday,10,October,4,2023,0,1,FY23-24,43
2023-10-24,24,Tuesday,10,October,4,2023,0,1,FY23-24,43
2023-10-25,25,Wednesday,10,October,4,2023,0,1,FY23-24,43
2023-10-26,26,Thursday,10,October,4,2023,0,1,FY23-24,43
2023-10-27,27,Friday,10,October,4,2023,0,1,FY23-24,43
2023-10-28,28,Saturday,10,October,4,2023,1,0,FY23-24,43
2023-10-29,29,Sunday,10,October,4,2023,1,0,FY23-24,43
2023-10-30,30,Monday,10,October,4,2023,0,1,FY23-24,44
2023-10-31,31,Tuesday,10,October,4,2023,0,1,FY23-24,44
2023-11-01,1,Wednesday,11,November,4,2023,0,1,FY23-24,44
2023-11-02,2,Thursday,11,November,4,2023,0,1,FY23-24,44
2023-11-03,3,Friday,11,November,4,2023,0,1,FY23-24,44
2023-11-04,4,Saturday,11,November,4,2023,1,0,FY23-24,44
2023-11-05,5,Sunday,11,November,4,2023,1,0,FY23-24,44
2023-11-06,6,Monday,11,November,4,2023,0,1,FY23-24,45
2023-11-07,7,Tuesday,11,November,4,2023,0,1,FY23-24,45
2023-11-08,8,Wednesday,11,November,4,2023,0,1,FY23-24,45
2023-11-09,9,Thursday,11,November,4,2023,0,1,FY23-24,45
2023-11-10,10,Friday,11,November,4,2023,0,1,FY23-24,45
2023-11-11,11,Saturday,11,November,4,2023,1,0,FY23-24,45
2023-11-12,12,Sunday,11,November,4,2023,1,0,FY23-24,45
2023-11-13,13,Monday,11,November,4,2023,0,1,FY23-24,46
2023-11-14,14,Tuesday,11,November,4,2023,0,1,FY23-24,46
2023-11-15,15,Wednesday,11,November,4,2023,0,1,FY23-24,46
2023-11-16,16,Thursday,11,November,4,2023,0,1,FY23-24,46
2023-11-17,17,Friday,11,November,4,2023,0,1,FY23-24,46
2023-11-18,18,Saturday,11,November,4,2023,1,0,FY23-24,46
2023-11-19,19,Sunday,11,November,4,2023,1,0,FY23-24,46
2023-11-20,20,Monday,11,November,4,2023,0,1,FY23-24,47
2023-11-21,21,Tuesday,11,November,4,2023,0,1,FY23-24,47
2023-11-22,22,Wednesday,11,November,4,2023,0,1,FY23-24,47
2023-11-23,23,Thursday,11,November,4,2023,0,1,FY23-24,47
2023-11-24,24,Friday,11,November,4,2023,0,1,FY23-24,47
2023-11-25,25,Saturday,11,November,4,2023,1,0,FY23-24,47
2023-11-26,26,Sunday,11,November,4,2023,1,0,FY23-24,47
2023-11-27,27,Monday,11,November,4,2023,0,1,FY23-24,48
2023-11-28,28,Tuesday,11,November,4,2023,0,1,FY23-24,48
2023-11-29,29,Wednesday,11,November,4,2023,0,1,FY23-24,48
2023-11-30,30,Thursday,11,November,4,2023,0,1,FY23-24,48
2023-12-01,1,Friday,12,December,4,2023,0,1,FY23-24,48
2023-12-02,2,Saturday,12,December,4,2023,1,0,FY23-24,48
2023-12-03,3,Sunday,12,December,4,2023,1,0,FY23-24,48
2023-12-04,4,Monday,12,December,4,2023,0,1,FY23-24,49
2023-12-05,5,Tuesday,12,December,4,2023,0,1,FY23-24,49
2023-12-06,6,Wednesday,12,December,4,2023,0,1,FY23-24,49
2023-12-07,7,Thursday,12,December,4,2023,0,1,FY23-24,49
2023-12-08,8,Friday,12,December,4,2023,0,1,FY23-24,49
2023-12-09,9,Saturday,12,December,4,2023,1,0,FY23-24,49
2023-12-10,10,Sunday,12,December,4,2023,1,0,FY23-24,49
2023-12-11,11,Monday,12,December,4,2023,0,1,FY23-24,50
2023-12-12,12,Tuesday,12,December,4,2023,0,1,FY23-24,50
2023-12-13,13,Wednesday,12,December,4,2023,0,1,FY23-24,50
2023-12-14,14,Thursday,12,December,4,2023,0,1,FY23-24,50
2023-12-15,15,Friday,12,December,4,2023,0,1,FY23-24,50
2023-12-16,16,Saturday,12,December,4,2023,1,0,FY23-24,50
2023-12-17,17,Sunday,12,December,4,2023,1,0,FY23-24,50
2023-12-18,18,Monday,12,December,4,2023,0,1,FY23-24,51
2023-12-19,19,Tuesday,12,December,4,2023,0,1,FY23-24,51
2023-12-20,20,Wednesday,12,December,4,2023,0,1,FY23-24,51
2023-12-21,21,Thursday,12,December,4,2023,0,1,FY23-24,51
2023-12-22,22,Friday,12,December,4,2023,0,1,FY23-24,51
2023-12-23,23,Saturday,12,December,4,2023,1,0,FY23-24,51
2023-12-24,24,Sunday,12,December,4,2023,1,0,FY23-24,51
2023-12-25,25,Monday,12,December,4,2023,0,1,FY23-24,52
2023-12-26,26,Tuesday,12,December,4,2023,0,1,FY23-24,52
2023-12-27,27,Wednesday,12,December,4,2023,0,1,FY23-24,52
2023-12-28,28,Thursday,12,December,4,2023,0,1,FY23-24,52
2023-12-29,29,Friday,12,December,4,2023,0,1,FY23-24,52
2023-12-30,30,Saturday,12,December,4,2023,1,0,FY23-24,52
2023-12-31,31,Sunday,12,December,4,2023,1,0,FY23-24,52
2024-01-01,1,Monday,1,January,1,2024,0,1,FY23-24,1
2024-01-02,2,Tuesday,1,January,1,2024,0,1,FY23-24,1
2024-01-03,3,Wednesday,1,January,1,2024,0,1,FY23-24,1
2024-01-04,4,Thursday,1,January,1,2024,0,1,FY23-24,1
2024-01-05,5,Friday,1,January,1,2024,0,1,FY23-24,1
2024-01-06,6,Saturday,1,January,1,2024,1,0,FY23-24,1
2024-01-07,7,Sunday,1,January,1,2024,1,0,FY23-24,1
2024-01-08,8,Monday,1,January,1,2024,0,1,FY23-24,2
2024-01-09,9,Tuesday,1,January,1,2024,0,1,FY23-24,2
2024-01-10,10,Wednesday,1,January,1,2024,0,1,FY23-24,2
2024-01-11,11,Thursday,1,January,1,2024,0,1,FY23-24,2
2024-01-12,12,Friday,1,January,1,2024,0,1,FY23-24,2
2024-01-13,13,Saturday,1,January,1,2024,1,0,FY23-24,2
2024-01-14,14,Sunday,1,January,1,2024,1,0,FY23-24,2
2024-01-15,15,Monday,1,January,1,2024,0,1,FY23-24,3
2024-01-16,16,Tuesday,1,January,1,2024,0,1,FY23-24,3
2024-01-17,17,Wednesday,1,January,1,2024,0,1,FY23-24,3
2024-01-18,18,Thursday,1,January,1,2024,0,1,FY23-24,3
2024-01-19,19,Friday,1,January,1,2024,0,1,FY23-24,3
2024-01-20,20,Saturday,1,January,1,2024,1,0,FY23-24,3
2024-01-21,21,Sunday,1,January,1,2024,1,0,FY23-24,3
2024-01-22,22,Monday,1,January,1,2024,0,1,FY23-24,4
2024-01-23,23,Tuesday,1,January,1,2024,0,1,FY23-24,4
2024-01-24,24,Wednesday,1,January,1,2024,0,1,FY23-24,4
2024-01-25,25,Thursday,1,January,1,2024,0,1,FY23-24,4
2024-01-26,26,Friday,1,January,1,2024,0,1,FY23-24,4
2024-01-27,27,Saturday,1,January,1,2024,1,0,FY23-24,4
2024-01-28,28,Sunday,1,January,1,2024,1,0,FY23-24,4
2024-01-29,29,Monday,1,January,1,2024,0,1,FY23-24,5
2024-01-30,30,Tuesday,1,January,1,2024,0,1,FY23-24,5
2024-01-31,31,Wednesday,1,January,1,2024,0,1,FY23-24,5
2024-02-01,1,Thursday,2,February,1,2024,0,1,FY23-24,5
