payment_id,order_id,customer_id,payment_date,payment_amount,payment_method,payment_status,transaction_ref
574679,74679,1031,2023-01-03,473260.19,Net Banking,SUCCESS,TXN4046543388
548540,48540,86,2023-01-02,353371.54,UPI,SUCCESS,TXN6722642463
598085,98085,4041,2023-01-02,541662.04,Wallet,SUCCESS,TXN6129010811
501591,1591,31,2023-01-02,338520.92,Debit Card,SUCCESS,TXN8577548557
558277,58277,1698,2023-01-03,9218.29,NEFT/RTGS,SUCCESS,TXN1325394637
543452,43452,4750,2023-01-02,1591879.82,NEFT/RTGS,SUCCESS,TXN4789258330
598784,98784,589,2023-01-02,1031681.34,UPI,SUCCESS,TXN7907197758
570306,70306,1939,2023-01-02,278542.4,NEFT/RTGS,SUCCESS,TXN3529300264
590781,90781,1815,2023-01-03,472377.64,UPI,SUCCESS,TXN2488384799
531658,31658,2746,2023-01-02,153110.06,NEFT/RTGS,SUCCESS,TXN2259110461
588366,88366,2594,2023-01-02,269419.37,Debit Card,FAILED,TXN6488443260
560046,60046,3314,2023-01-02,570989.19,Wallet,SUCCESS,TXN9032014493
598685,98685,3550,2023-01-02,388444.64,NEFT/RTGS,SUCCESS,TXN8705346587
513903,13903,1328,2023-01-03,91361.76,NEFT/RTGS,SUCCESS,TXN8108227639
536447,36447,4315,2023-01-03,1290338.88,Debit Card,SUCCESS,TXN8773298276
506679,6679,4155,2023-01-03,960217.1,Net Banking,SUCCESS,TXN1120380538
509332,9332,4083,2023-01-02,43624.24,Net Banking,FAILED,TXN6074439460
538190,38190,885,2023-01-03,1188914.23,Net Banking,SUCCESS,TXN8182850090
590255,90255,1389,2023-01-02,121587.45,Debit Card,SUCCESS,TXN5458972084
566155,66155,1130,2023-01-03,250973.8,Debit Card,FAILED,TXN3174333645
555057,55057,3550,2023-01-03,1267740.09,NEFT/RTGS,SUCCESS,TXN6704878958
585206,85206,3550,2023-01-02,1480801.76,UPI,SUCCESS,TXN9856204544
562439,62439,2609,2023-01-02,1121910.42,Net Banking,SUCCESS,TXN2500753292
533004,33004,280,2023-01-03,126832.53,Net Banking,SUCCESS,TXN9936323957
537707,37707,3490,2023-01-03,798856.8,Debit Card,SUCCESS,TXN6860841679
560619,60619,4616,2023-01-02,195691.64,NEFT/RTGS,SUCCESS,TXN2644529401
579930,79930,51,2023-01-02,118461.76,UPI,SUCCESS,TXN6091999354
510750,10750,4079,2023-01-02,708015.69,Net Banking,SUCCESS,TXN8155311880
573628,73628,3066,2023-01-03,69746.7,Debit Card,SUCCESS,TXN6324910436
546763,46763,1096,2023-01-03,437633.26,NEFT/RTGS,SUCCESS,TXN6216162245
571429,71429,2760,2023-01-03,8198.87,Net Banking,SUCCESS,TXN9569964999
545399,45399,4529,2023-01-02,144987.2,Net Banking,SUCCESS,TXN1459965823
569329,69329,2876,2023-01-03,405037.73,NEFT/RTGS,SUCCESS,TXN1351537872
535147,35147,3550,2023-01-03,1027567.36,UPI,SUCCESS,TXN4916790648
526552,26552,2242,2023-01-03,651444.9,NEFT/RTGS,SUCCESS,TXN7453657992
597832,97832,3975,2023-01-02,850558.97,Net Banking,SUCCESS,TXN7684630061
533696,33696,1553,2023-01-02,1090212.06,Debit Card,SUCCESS,TXN3609683782
589165,89165,1815,2023-01-03,137552.45,Net Banking,SUCCESS,TXN8552154281
543389,43389,2767,2023-01-03,1005301.43,Net Banking,SUCCESS,TXN5938910529
567126,67126,1323,2023-01-03,330610.75,Wallet,SUCCESS,TXN2052508794
546803,46803,4185,2023-01-02,31126.42,NEFT/RTGS,SUCCESS,TXN3949312479
509894,9894,1939,2023-01-03,315099.31,Net Banking,SUCCESS,TXN8185541671
559539,59539,4670,2023-01-02,3706.0,Debit Card,SUCCESS,TXN1609392150
572963,72963,3478,2023-01-02,1652849.68,Debit Card,SUCCESS,TXN1125787428
578010,78010,2943,2023-01-03,396918.55,UPI,SUCCESS,TXN1987514135
575897,75897,3225,2023-01-02,1865.72,NEFT/RTGS,SUCCESS,TXN7728037835
529275,29275,1733,2023-01-03,1825392.35,Wallet,SUCCESS,TXN4814688463
539036,39036,2464,2023-01-02,1373075.4,Debit Card,SUCCESS,TXN4642767193
542959,42959,2211,2023-01-03,753771.68,NEFT/RTGS,SUCCESS,TXN6318466084
591349,91349,973,2023-01-03,136275.18,Wallet,SUCCESS,TXN8082964774
511261,11261,4514,2023-01-04,1202563.74,Wallet,SUCCESS,TXN1188519381
563374,63374,3550,2023-01-03,262016.74,Net Banking,SUCCESS,TXN1346252226
585972,85972,1314,2023-01-03,1274578.0,Debit Card,SUCCESS,TXN2089002850
566905,66905,4092,2023-01-04,63988.07,NEFT/RTGS,SUCCESS,TXN7800967455
565915,65915,3665,2023-01-04,644331.79,Net Banking,SUCCESS,TXN7065400771
544836,44836,2415,2023-01-03,6723.37,Debit Card,SUCCESS,TXN7557414792
551227,51227,2506,2023-01-04,679084.41,Wallet,SUCCESS,TXN5448033201
507962,7962,456,2023-01-03,182672.67,Wallet,SUCCESS,TXN8539503699
540322,40322,4185,2023-01-04,312104.63,UPI,SUCCESS,TXN5153620542
503151,3151,825,2023-01-03,250379.75,Debit Card,SUCCESS,TXN5089101324
599059,99059,4063,2023-01-04,1084655.39,UPI,SUCCESS,TXN4326294064
526743,26743,1389,2023-01-04,412453.37,Debit Card,SUCCESS,TXN3384055234
572442,72442,2472,2023-01-04,409301.37,Debit Card,SUCCESS,TXN4122083061
590441,90441,129,2023-01-03,563908.87,Debit Card,SUCCESS,TXN7372575918
512699,12699,2609,2023-01-03,143415.13,NEFT/RTGS,SUCCESS,TXN8718638063
519499,19499,129,2023-01-03,479083.85,UPI,SUCCESS,TXN1828596233
584184,84184,2772,2023-01-04,1181954.7,NEFT/RTGS,SUCCESS,TXN2949914255
594801,94801,3153,2023-01-04,165474.69,Wallet,SUCCESS,TXN7785130122
528569,28569,4306,2023-01-03,106943.66,UPI,SUCCESS,TXN4135634252
564699,64699,292,2023-01-04,68512.56,Debit Card,SUCCESS,TXN1430675343
529049,29049,1784,2023-01-03,973885.77,NEFT/RTGS,SUCCESS,TXN2902570971
556518,56518,4288,2023-01-04,88764.5,UPI,SUCCESS,TXN3295041198
564876,64876,2470,2023-01-04,456296.74,Net Banking,SUCCESS,TXN7331557148
570416,70416,1616,2023-01-03,524877.38,Debit Card,SUCCESS,TXN7857828130
564286,64286,390,2023-01-03,411312.16,Debit Card,SUCCESS,TXN4564418404
590119,90119,1314,2023-01-04,91156.55,UPI,SUCCESS,TXN9963977678
550364,50364,2738,2023-01-04,27534.09,UPI,SUCCESS,TXN9053724241
582509,82509,134,2023-01-04,606517.17,UPI,SUCCESS,TXN7516561203
541776,41776,2639,2023-01-03,59654.12,Debit Card,SUCCESS,TXN1839243973
579791,79791,3550,2023-01-03,934598.5,NEFT/RTGS,SUCCESS,TXN8839020621
521181,21181,1527,2023-01-04,978150.25,Net Banking,SUCCESS,TXN5256727845
597852,97852,4360,2023-01-03,292607.87,Wallet,SUCCESS,TXN4874383807
552202,52202,200,2023-01-04,68658.49,UPI,SUCCESS,TXN3114867860
587731,87731,2901,2023-01-04,540619.51,Wallet,SUCCESS,TXN8294255812
517792,17792,1172,2023-01-04,582283.85,Net Banking,SUCCESS,TXN3966754879
580906,80906,2247,2023-01-03,349475.03,UPI,SUCCESS,TXN9317707928
514006,14006,278,2023-01-04,256531.46,UPI,SUCCESS,TXN3366500517
508268,8268,4986,2023-01-03,858964.55,Net Banking,SUCCESS,TXN6703672100
546840,46840,3648,2023-01-04,541897.98,Wallet,SUCCESS,TXN1530661075
543321,43321,4785,2023-01-04,309229.69,Wallet,SUCCESS,TXN9649656635
599406,99406,2654,2023-01-03,76469.59,NEFT/RTGS,SUCCESS,TXN8735427522
589903,89903,3263,2023-01-03,6080.25,NEFT/RTGS,SUCCESS,TXN3497109476
579989,79989,1328,2023-01-04,97474.32,Debit Card,SUCCESS,TXN2580749040
574212,74212,4500,2023-01-03,280255.46,UPI,SUCCESS,TXN3231650821
512439,12439,2899,2023-01-03,1028594.36,Wallet,SUCCESS,TXN1551227098
517711,17711,4901,2023-01-04,321186.2,Wallet,SUCCESS,TXN9140017526
540178,40178,1996,2023-01-03,331273.92,Wallet,SUCCESS,TXN9522335397
591823,91823,972,2023-01-03,1705615.7,Wallet,SUCCESS,TXN9948903817
503284,3284,2786,2023-01-04,1857857.42,Wallet,SUCCESS,TXN6483481506
568737,68737,4566,2023-01-03,382932.79,Wallet,SUCCESS,TXN3579719044
574733,74733,4289,2023-01-03,833879.99,Wallet,SUCCESS,TXN7209406948
502594,2594,2247,2023-01-04,165501.72,UPI,SUCCESS,TXN7989928144
531224,31224,3014,2023-01-04,257027.13,UPI,SUCCESS,TXN4932602080
549390,49390,2813,2023-01-04,743586.16,UPI,SUCCESS,TXN5754709266
525284,25284,4315,2023-01-03,203788.48,UPI,SUCCESS,TXN7868080388
597360,97360,2828,2023-01-03,972245.63,UPI,REFUNDED,TXN7310442027
588991,88991,163,2023-01-03,98041.96,NEFT/RTGS,SUCCESS,TXN2578126871
509526,9526,2001,2023-01-03,1202115.46,Debit Card,SUCCESS,TXN1239509511
524009,24009,1807,2023-01-03,18949.55,Debit Card,FAILED,TXN2795786253
586137,86137,3171,2023-01-03,443378.02,UPI,SUCCESS,TXN3896739819
535434,35434,4975,2023-01-04,20075.06,UPI,SUCCESS,TXN6098944670
534960,34960,2562,2023-01-03,1849.56,UPI,SUCCESS,TXN9340731533
541464,41464,2719,2023-01-03,400973.05,Wallet,SUCCESS,TXN2731832744
524302,24302,344,2023-01-04,600682.11,UPI,REFUNDED,TXN8933663686
569268,69268,4332,2023-01-03,666187.74,UPI,SUCCESS,TXN8175865390
587549,87549,4901,2023-01-03,86852.51,UPI,SUCCESS,TXN2883063310
536659,36659,230,2023-01-04,584381.73,UPI,SUCCESS,TXN7652563833
519843,19843,328,2023-01-03,443825.44,NEFT/RTGS,SUCCESS,TXN9213702579
526388,26388,2413,2023-01-04,1471136.61,Net Banking,SUCCESS,TXN3928841133
541400,41400,3724,2023-01-04,211756.55,NEFT/RTGS,SUCCESS,TXN6508079374
516404,16404,1958,2023-01-03,559546.14,Net Banking,SUCCESS,TXN2818354485
572967,72967,4370,2023-01-03,454831.3,Net Banking,SUCCESS,TXN2642998104
582875,82875,153,2023-01-03,505196.11,Debit Card,SUCCESS,TXN1615296952
572554,72554,1468,2023-01-03,163754.29,NEFT/RTGS,SUCCESS,TXN6689567636
564943,64943,2811,2023-01-04,96053.21,UPI,SUCCESS,TXN6134716538
517452,17452,720,2023-01-03,60674.98,Net Banking,SUCCESS,TXN5827890365
505368,5368,2527,2023-01-03,223440.07,Net Banking,SUCCESS,TXN8621636511
528466,28466,4563,2023-01-03,1725068.56,Debit Card,SUCCESS,TXN2191924555
587612,87612,2041,2023-01-03,1148059.63,UPI,SUCCESS,TXN3684834559
532877,32877,3307,2023-01-04,2096.05,UPI,SUCCESS,TXN2730575352
566194,66194,2022,2023-01-03,343599.7,Debit Card,SUCCESS,TXN4105043048
559429,59429,3918,2023-01-04,357421.24,UPI,SUCCESS,TXN1596695856
566498,66498,1996,2023-01-03,432073.98,Wallet,SUCCESS,TXN4901322021
575939,75939,1821,2023-01-04,225514.63,UPI,SUCCESS,TXN8458122885
516278,16278,1854,2023-01-03,1799856.59,Net Banking,FAILED,TXN6122150016
508327,8327,8,2023-01-03,217443.74,UPI,SUCCESS,TXN2194134409
537437,37437,3548,2023-01-03,1275073.46,NEFT/RTGS,SUCCESS,TXN5222976439
564670,64670,1670,2023-01-03,66321.63,Net Banking,SUCCESS,TXN1954043004
503718,3718,4778,2023-01-04,387008.72,UPI,SUCCESS,TXN8235186632
553441,53441,4291,2023-01-03,1762633.55,Wallet,SUCCESS,TXN6685005424
582709,82709,4486,2023-01-03,279931.88,Net Banking,SUCCESS,TXN1041016069
572112,72112,3795,2023-01-03,1439511.89,Debit Card,SUCCESS,TXN7017773929
544975,44975,3525,2023-01-03,620695.68,NEFT/RTGS,SUCCESS,TXN9590463227
598218,98218,1941,2023-01-03,237595.7,Debit Card,SUCCESS,TXN1809730417
535218,35218,3325,2023-01-04,62183.29,Net Banking,SUCCESS,TXN5040004506
535659,35659,1674,2023-01-04,624970.45,NEFT/RTGS,SUCCESS,TXN7519649677
595120,95120,4530,2023-01-03,389996.06,Debit Card,SUCCESS,TXN9094360021
525340,25340,2005,2023-01-04,200270.29,Wallet,SUCCESS,TXN2704544899
593865,93865,3830,2023-01-04,76992.5,NEFT/RTGS,SUCCESS,TXN9940312311
557499,57499,789,2023-01-03,246004.57,Net Banking,SUCCESS,TXN5857820515
522800,22800,3918,2023-01-04,586973.52,Wallet,SUCCESS,TXN5068060823
568053,68053,4185,2023-01-03,1155953.33,Debit Card,SUCCESS,TXN8075341676
517856,17856,1821,2023-01-04,473333.95,Debit Card,SUCCESS,TXN4868082772
545343,45343,216,2023-01-04,58151.81,Wallet,SUCCESS,TXN3416551135
555025,55025,1930,2023-01-03,298725.38,Wallet,SUCCESS,TXN2807002177
582245,82245,2370,2023-01-03,174037.55,Wallet,SUCCESS,TXN4896356876
550105,50105,39,2023-01-03,85287.26,NEFT/RTGS,SUCCESS,TXN9400873521
577238,77238,1444,2023-01-03,1088666.38,Wallet,SUCCESS,TXN4782752270
587713,87713,1125,2023-01-03,185309.2,UPI,SUCCESS,TXN1543145019
572378,72378,3550,2023-01-04,37854.17,UPI,SUCCESS,TXN4509571898
575467,75467,1153,2023-01-04,140210.55,Net Banking,SUCCESS,TXN5334187678
539622,39622,4932,2023-01-04,901271.59,NEFT/RTGS,SUCCESS,TXN3709296394
578088,78088,3070,2023-01-03,473542.55,NEFT/RTGS,SUCCESS,TXN9437336940
552387,52387,4616,2023-01-05,1412674.59,UPI,SUCCESS,TXN7052891266
554430,54430,783,2023-01-05,713538.05,NEFT/RTGS,SUCCESS,TXN6038996589
541637,41637,302,2023-01-05,407515.75,Wallet,SUCCESS,TXN3859474310
506936,6936,488,2023-01-05,181017.54,NEFT/RTGS,SUCCESS,TXN5645114610
590356,90356,269,2023-01-04,390907.66,Debit Card,SUCCESS,TXN3083486916
563911,63911,3550,2023-01-05,886043.94,UPI,SUCCESS,TXN2254386790
539595,39595,1815,2023-01-04,360478.24,Debit Card,SUCCESS,TXN5578358144
589094,89094,3310,2023-01-04,27891.32,Debit Card,SUCCESS,TXN6093178119
563153,63153,39,2023-01-04,227243.47,UPI,SUCCESS,TXN9030821013
596707,96707,3956,2023-01-05,1316279.78,NEFT/RTGS,SUCCESS,TXN2421833016
547150,47150,2700,2023-01-04,1599616.27,Net Banking,SUCCESS,TXN1877524480
555762,55762,3607,2023-01-04,499467.79,Net Banking,SUCCESS,TXN7926347835
542957,42957,2485,2023-01-05,11876.14,Debit Card,SUCCESS,TXN5000709372
556800,56800,3722,2023-01-05,120218.02,Net Banking,SUCCESS,TXN7815932794
571709,71709,4172,2023-01-04,245747.86,NEFT/RTGS,SUCCESS,TXN2372224549
550749,50749,2341,2023-01-05,8595.35,Net Banking,SUCCESS,TXN4504529338
504877,4877,1616,2023-01-05,1412268.16,Net Banking,SUCCESS,TXN8002470949
545103,45103,137,2023-01-04,290954.37,Debit Card,SUCCESS,TXN3369116040
528277,28277,3783,2023-01-05,67362.15,UPI,SUCCESS,TXN5258061208
593741,93741,4344,2023-01-05,21053.62,UPI,SUCCESS,TXN5557636549
518249,18249,1328,2023-01-05,11817.69,NEFT/RTGS,SUCCESS,TXN7994536478
502635,2635,3104,2023-01-05,289613.7,NEFT/RTGS,SUCCESS,TXN7609869358
538679,38679,1413,2023-01-05,704962.34,Wallet,SUCCESS,TXN7694346786
523046,23046,129,2023-01-05,381003.94,Net Banking,SUCCESS,TXN5879124370
513693,13693,725,2023-01-05,6621.15,UPI,SUCCESS,TXN4505676021
563982,63982,3634,2023-01-05,597417.51,Debit Card,FAILED,TXN2973956376
535812,35812,1578,2023-01-05,34421.69,Net Banking,SUCCESS,TXN7507591178
517282,17282,3763,2023-01-05,925497.15,UPI,SUCCESS,TXN6739544433
561338,61338,2441,2023-01-05,1537489.99,Wallet,SUCCESS,TXN1868571401
522279,22279,1444,2023-01-05,725416.15,Net Banking,SUCCESS,TXN6906147580
549288,49288,2609,2023-01-05,111537.3,NEFT/RTGS,SUCCESS,TXN7211004460
530078,30078,4746,2023-01-04,854708.63,NEFT/RTGS,SUCCESS,TXN6300891802
547640,47640,3746,2023-01-05,730777.53,Debit Card,SUCCESS,TXN2604327517
533995,33995,284,2023-01-05,206615.47,UPI,SUCCESS,TXN5950900741
585904,85904,4583,2023-01-05,150116.89,Wallet,SUCCESS,TXN6268766452
503814,3814,3659,2023-01-05,700784.7,Net Banking,SUCCESS,TXN5099487477
562208,62208,139,2023-01-04,257894.87,NEFT/RTGS,SUCCESS,TXN7619892014
586184,86184,4099,2023-01-04,332777.79,UPI,SUCCESS,TXN2181294722
523977,23977,2298,2023-01-04,964544.14,UPI,SUCCESS,TXN7630670561
590261,90261,2970,2023-01-04,1429551.9,Net Banking,SUCCESS,TXN1479271217
505788,5788,2609,2023-01-05,496379.95,Net Banking,SUCCESS,TXN6204737420
551439,51439,1576,2023-01-04,146475.75,NEFT/RTGS,SUCCESS,TXN5696721667
567226,67226,2344,2023-01-04,1276454.57,NEFT/RTGS,SUCCESS,TXN1269825645
565991,65991,1733,2023-01-04,563617.95,Net Banking,REFUNDED,TXN2297814816
507836,7836,1387,2023-01-04,104640.68,UPI,SUCCESS,TXN6194710040
571283,71283,850,2023-01-04,455233.16,Net Banking,SUCCESS,TXN8027662755
508767,8767,2919,2023-01-04,74332.8,UPI,SUCCESS,TXN3179492557
562113,62113,2609,2023-01-05,550183.69,Debit Card,SUCCESS,TXN2267303526
506670,6670,4489,2023-01-04,217068.43,NEFT/RTGS,FAILED,TXN5632485202
521188,21188,360,2023-01-04,232699.77,UPI,SUCCESS,TXN2992262980
511026,11026,4255,2023-01-05,791632.94,Net Banking,SUCCESS,TXN6331302852
514139,14139,3329,2023-01-04,99333.93,Net Banking,SUCCESS,TXN9441882047
567725,67725,840,2023-01-04,153070.66,Wallet,SUCCESS,TXN7936525230
542589,42589,3294,2023-01-04,163494.01,Wallet,SUCCESS,TXN6669581205
560043,60043,280,2023-01-05,184789.97,NEFT/RTGS,SUCCESS,TXN2223827659
508877,8877,2609,2023-01-04,229766.1,Debit Card,SUCCESS,TXN5543334038
532407,32407,4911,2023-01-04,1896148.15,Debit Card,SUCCESS,TXN1566530008
514256,14256,1870,2023-01-04,592324.21,NEFT/RTGS,SUCCESS,TXN9785493674
555236,55236,4832,2023-01-05,31358.63,Wallet,SUCCESS,TXN2309183759
535775,35775,2342,2023-01-05,270527.34,Wallet,SUCCESS,TXN2050201471
588108,88108,4307,2023-01-05,186052.49,Debit Card,SUCCESS,TXN5989417316
588960,88960,2403,2023-01-04,607333.39,UPI,SUCCESS,TXN5196437166
522205,22205,1679,2023-01-05,1668859.91,Debit Card,SUCCESS,TXN8385492614
571190,71190,280,2023-01-04,136167.21,NEFT/RTGS,FAILED,TXN5734069114
572634,72634,190,2023-01-04,136248.06,UPI,SUCCESS,TXN6377213948
502954,2954,2124,2023-01-05,32750.2,Wallet,SUCCESS,TXN5411940988
575899,75899,4892,2023-01-05,24281.8,UPI,SUCCESS,TXN2350513781
543164,43164,1821,2023-01-05,905307.7,NEFT/RTGS,SUCCESS,TXN1512864245
529511,29511,1805,2023-01-05,498771.39,Wallet,SUCCESS,TXN5429152666
572608,72608,491,2023-01-05,205588.56,Debit Card,SUCCESS,TXN9228293257
555921,55921,2909,2023-01-05,549582.13,NEFT/RTGS,SUCCESS,TXN3768750915
595526,95526,3975,2023-01-05,145372.77,Debit Card,SUCCESS,TXN5029068372
599329,99329,2220,2023-01-04,7701.25,Net Banking,SUCCESS,TXN9830297951
598219,98219,3411,2023-01-05,42526.45,Debit Card,REFUNDED,TXN1055568515
564409,64409,4877,2023-01-04,23545.26,UPI,SUCCESS,TXN2053984495
585026,85026,1444,2023-01-05,573051.74,Debit Card,SUCCESS,TXN4272116331
556097,56097,1970,2023-01-05,928788.01,Net Banking,SUCCESS,TXN3706278350
543420,43420,4901,2023-01-05,160632.45,Net Banking,REFUNDED,TXN2924031182
567976,67976,514,2023-01-04,297713.85,NEFT/RTGS,SUCCESS,TXN4490487669
504744,4744,2438,2023-01-04,435113.86,Debit Card,SUCCESS,TXN9192047243
570207,70207,4218,2023-01-04,829128.9,Debit Card,SUCCESS,TXN4976879461
561376,61376,4185,2023-01-04,316476.98,NEFT/RTGS,SUCCESS,TXN9237989985
585474,85474,45,2023-01-05,1018632.11,NEFT/RTGS,SUCCESS,TXN4119096755
500427,427,3887,2023-01-05,16623.9,Wallet,SUCCESS,TXN2631114937
502242,2242,595,2023-01-05,1253192.16,Wallet,SUCCESS,TXN7563507024
558306,58306,1682,2023-01-04,1576966.09,UPI,SUCCESS,TXN2727994514
518242,18242,4481,2023-01-05,312248.88,UPI,SUCCESS,TXN1882647266
530504,30504,2609,2023-01-04,369436.1,UPI,SUCCESS,TXN7562957755
568949,68949,369,2023-01-05,225662.6,Wallet,SUCCESS,TXN8266164974
514829,14829,715,2023-01-04,541526.39,UPI,FAILED,TXN5990815046
589385,89385,4342,2023-01-04,20651.61,UPI,SUCCESS,TXN9357098660
589215,89215,3550,2023-01-05,26844.89,Net Banking,SUCCESS,TXN7969795033
