stock_id,symbol,company_name,sector,exchange,isin_code,listing_date,face_value,base_price,market_cap_cr,beta,is_fno_enabled
56,GLOEN56,Global Energy,Metals,NSE,INE518731A69,2013-12-11,1,1318.39,65639.91,1.26,0
57,APEME57,Apex Metals,Auto,BSE,INE132414A75,2015-01-11,10,617.46,190040.58,0.96,0
58,SUNTE58,Sun Technologies,Realty,NSE,INE986975A36,2015-04-30,10,3812.31,452937.24,0.72,1
59,STAST59,Star Steel,Metals,BSE,INE781369A57,2020-05-28,1,3242.24,47034.43,0.59,0
60,NATME60,National Metals,IT,NSE,INE926322A62,2017-10-21,10,963.51,307310.66,1.14,1
61,SHRTE61,Shree Textiles,Infra,BSE,INE822733A24,2013-03-16,1,3431.88,201941.94,1.01,1
62,SUNBA62,Sun Bank,Banking,NSE,INE330015A49,2022-10-24,5,1024.16,323762.68,2.14,0
63,BHATE63,Bharat Textiles,IT,BSE,INE913248A66,2016-06-28,10,3313.24,244855.08,1.94,1
64,PRIFI64,Prime Finance,Pharma,BSE,INE290826A88,2019-08-16,1,2521.68,438364.85,0.73,0
65,DELTE65,Delta Telecom,Banking,BSE,INE656804A47,2015-08-04,10,1940.67,201308.88,1.76,0
66,ROYMO66,Royal Motors,Realty,BSE,INE445812A72,2018-01-23,10,3713.73,254263.41,1.26,0
67,RELTE67,Reliable Textiles,Energy,NSE,INE893152A54,2016-01-01,2,3241.28,65155.51,2.07,1
68,RELCH68,Reliable Chemicals,FMCG,NSE,INE859621A72,2020-07-02,10,537.1,245204.26,1.49,0
69,STATE69,Star Textiles,Infra,NSE,INE166510A80,2014-03-09,1,2828.16,57453.95,0.77,0
70,SUNIN70,Sun Infra Ltd,Pharma,NSE,INE604457A57,2014-08-19,5,3162.22,291606.62,0.75,1
71,PIORE71,Pioneer Realty,Telecom,NSE,INE651548A15,2016-08-18,2,2173.69,213754.14,2.14,1
72,STAPH72,Star Pharma,Energy,BSE,INE916699A87,2018-10-05,5,1118.75,391707.16,2.05,0
73,ALPTE73,Alpha Textiles,Realty,BSE,INE998600A63,2021-06-26,2,953.2,209296.64,1.27,0
74,ZENRE74,Zenith Realty,Infra,NSE,INE315557A63,2020-12-19,2,3897.1,315334.65,1.42,1
75,SHRMO75,Shree Motors,Pharma,NSE,INE353678A55,2019-01-07,5,1758.44,29590.29,1.38,0
76,DELME76,Delta Metals,IT,NSE,INE821172A25,2015-03-21,1,2084.92,355038.23,1.77,0
77,APEIN77,Apex Industries,Metals,NSE,INE509335A53,2013-07-17,10,2400.7,478721.15,1.25,1
78,TRUME78,Trust Metals,Realty,BSE,INE936623A57,2016-12-03,5,420.51,223944.59,0.62,1
79,UNITE79,United Telecom,IT,NSE,INE406852A44,2013-08-17,2,343.56,5023.54,0.98,1
80,METEN80,Metro Energy,Infra,NSE,INE372961A23,2021-01-12,5,808.58,301862.96,1.42,0
81,APETE81,Apex Textiles,Metals,BSE,INE739308A77,2015-07-31,2,280.01,72674.12,1.03,0
82,GLOTE82,Global Telecom,Energy,NSE,INE278841A50,2017-09-05,5,3595.92,234037.44,1.86,1
83,PRIEN83,Prime Energy,IT,NSE,INE777598A72,2021-08-07,5,609.14,16324.58,2.11,0
84,UNITE84,United Textiles,Infra,NSE,INE171983A14,2016-01-23,10,921.75,221461.54,0.84,0
85,GLOTE85,Global Technologies,Energy,BSE,INE164065A54,2013-12-22,2,2158.5,437255.48,2.0,0
86,RELME86,Reliable Metals,Energy,BSE,INE922495A16,2018-07-10,2,3586.89,67779.84,1.69,1
87,KRIPH87,Krishna Pharma,Banking,NSE,INE730968A75,2020-06-13,2,215.14,249213.03,1.46,1
88,NOVIN88,Nova Infra Ltd,Realty,NSE,INE967279A61,2019-12-25,10,879.58,127010.65,0.63,0
89,SUNIN89,Sun Industries,Telecom,NSE,INE959449A50,2016-12-29,10,2875.05,130589.22,1.14,1
90,METCH90,Metro Chemicals,Metals,NSE,INE338703A96,2016-02-10,1,2086.34,321687.21,2.19,1
91,SHRIN91,Shree Industries,FMCG,NSE,INE569196A39,2020-11-01,1,2386.18,374163.78,1.57,0
92,METME92,Metro Metals,IT,NSE,INE678796A47,2016-02-19,10,87.48,436655.35,1.47,0
93,SUNIN93,Sun Infra Ltd,Auto,BSE,INE772796A75,2015-07-16,1,3469.88,139195.28,0.46,0
94,METRE94,Metro Realty,Energy,NSE,INE116900A56,2022-11-01,1,2323.39,35481.04,0.98,0
95,NATMO95,National Motors,Pharma,NSE,INE869215A68,2019-03-02,1,3340.78,221196.87,1.28,0
96,SUNMO96,Sun Motors,Realty,BSE,INE748180A96,2020-08-30,1,3855.7,292337.18,1.55,1
97,KRICH97,Krishna Chemicals,Infra,NSE,INE409399A71,2015-01-28,1,2934.0,369816.34,1.94,0
98,GLOTE98,Global Technologies,IT,NSE,INE126627A23,2016-07-17,5,143.42,378060.24,1.22,1
99,PRITE99,Prime Textiles,Pharma,BSE,INE728098A28,2017-09-02,5,2851.89,431822.25,0.89,0
100,PIOBA100,Pioneer Bank,Auto,BSE,INE808429A87,2020-10-05,1,2262.61,15679.02,0.91,0
101,ZENIN101,Zenith Industries,IT,NSE,INE904598A14,2018-03-11,5,432.09,490500.93,0.65,0
102,SUNRE102,Sun Realty,Metals,BSE,INE392864A55,2013-05-20,1,1096.3,483411.15,0.66,0
103,ROYTE103,Royal Technologies,Banking,NSE,INE114347A90,2013-01-23,5,691.99,17869.98,0.95,1
104,APEFO104,Apex Foods,Banking,NSE,INE968767A79,2021-05-17,5,3700.87,156716.44,1.78,0
105,OMFO105,Om Foods,FMCG,NSE,INE350090A20,2018-02-28,2,3185.23,382794.76,1.14,1
106,SHRMO106,Shree Motors,Auto,NSE,INE843939A75,2015-07-12,2,2809.4,239307.34,1.95,0
107,GLOFO107,Global Foods,Metals,NSE,INE951168A44,2020-01-11,10,3058.02,2420.4,2.11,1
108,ROYTE108,Royal Textiles,IT,NSE,INE251586A90,2013-01-10,10,2412.96,177422.42,0.54,1
109,PRITE109,Prime Textiles,Metals,BSE,INE196923A60,2018-05-05,10,3423.96,289511.58,1.68,1
110,PIOTE110,Pioneer Technologies,IT,NSE,INE524330A58,2019-07-16,1,929.86,439802.1,0.55,0
111,PRITE111,Prime Technologies,Infra,BSE,INE462171A10,2013-08-05,2,1017.01,414642.83,0.53,0
112,SUNPH112,Sun Pharma,Energy,NSE,INE659594A32,2016-12-22,2,2375.16,473165.07,0.9,0
113,OMCH113,Om Chemicals,Metals,NSE,INE205524A46,2022-05-19,1,3244.34,234017.3,0.58,1
114,NOVBA114,Nova Bank,Banking,NSE,INE361650A74,2021-12-12,2,3346.44,399157.08,1.59,1
115,TRUME115,Trust Metals,Metals,NSE,INE425910A56,2013-03-16,1,3905.49,50457.72,1.69,0
116,NATME116,National Metals,Auto,BSE,INE536620A85,2016-10-15,2,3053.89,259277.09,1.55,1
117,KRIST117,Krishna Steel,Energy,NSE,INE192592A13,2014-04-23,5,946.32,458298.72,1.44,0
118,BHAPH118,Bharat Pharma,Banking,BSE,INE880277A38,2013-02-18,2,937.99,419439.92,1.81,0
119,NATFO119,National Foods,Realty,BSE,INE745832A63,2015-07-25,5,1793.44,327839.36,1.79,0
120,ALPTE120,Alpha Technologies,Infra,BSE,INE787117A68,2013-04-13,2,2607.6,74686.74,1.97,1
121,TRUST121,Trust Steel,Infra,NSE,INE319937A54,2013-06-19,2,2061.71,91122.42,1.65,0
122,NOVTE122,Nova Telecom,Telecom,BSE,INE375564A45,2018-11-21,2,288.54,339358.28,1.04,0
123,OMMO123,Om Motors,Metals,NSE,INE590473A16,2016-08-14,1,1937.97,162851.35,1.34,0
124,ROYRE124,Royal Realty,Pharma,BSE,INE127979A71,2014-10-20,1,3272.05,164791.03,1.28,0
125,DELTE125,Delta Textiles,FMCG,NSE,INE179619A90,2013-07-14,1,976.45,423826.63,0.59,1
126,PRIRE126,Prime Realty,Banking,NSE,INE678249A81,2014-09-28,5,2547.43,10331.52,1.86,0
127,NATTE127,National Technologies,Pharma,BSE,INE524243A72,2014-12-08,1,1093.48,196319.68,2.04,0
128,ROYBA128,Royal Bank,Pharma,NSE,INE267300A66,2019-09-25,2,2231.56,119186.42,2.17,1
129,UNIFI129,United Finance,Realty,BSE,INE379670A78,2018-09-20,1,2809.9,13647.43,0.85,1
130,GLOEN130,Global Energy,Banking,NSE,INE430441A79,2014-10-12,2,844.74,108364.91,0.57,0
131,KRIME131,Krishna Metals,Infra,BSE,INE904759A10,2021-09-26,2,2963.4,92205.32,0.6,1
132,TRUPH132,Trust Pharma,Metals,NSE,INE156285A41,2021-05-19,1,2712.54,252286.67,1.85,0
133,KRIIN133,Krishna Industries,Realty,NSE,INE592167A87,2015-02-17,5,1264.78,217652.35,1.54,1
134,ZENBA134,Zenith Bank,Energy,NSE,INE495488A85,2013-03-22,10,3582.0,235902.59,1.76,0
135,METFI135,Metro Finance,Pharma,NSE,INE756601A73,2018-10-28,5,3126.45,438967.85,2.03,0
136,SHRTE136,Shree Telecom,Energy,BSE,INE918880A37,2014-05-14,1,2094.11,247264.74,0.81,0
137,BHAEN137,Bharat Energy,Realty,BSE,INE702727A81,2019-06-14,10,349.08,319538.45,1.06,0
138,ROYME138,Royal Metals,Telecom,BSE,INE971542A30,2017-11-25,10,1773.67,323776.89,1.83,1
139,NATCH139,National Chemicals,Realty,BSE,INE808135A29,2013-04-09,10,1332.81,258485.51,0.87,1
140,OMFI140,Om Finance,Telecom,BSE,INE965875A57,2019-02-25,1,1064.53,152456.66,1.31,1
141,ROYBA141,Royal Bank,Auto,NSE,INE887667A60,2014-03-03,1,2581.42,451588.98,1.2,0
142,DELCH142,Delta Chemicals,Auto,NSE,INE167884A41,2013-07-20,10,3688.49,219143.94,1.47,1
143,NOVCH143,Nova Chemicals,Metals,BSE,INE648103A63,2015-08-17,10,603.29,285606.88,2.18,0
144,GLOIN144,Global Industries,Realty,BSE,INE595013A73,2022-04-17,2,2971.72,279616.25,0.59,0
145,ROYFI145,Royal Finance,FMCG,NSE,INE619561A26,2013-05-27,2,2494.43,413836.26,1.27,0
146,STAMO146,Star Motors,Auto,NSE,INE170489A35,2018-01-08,5,2674.79,267356.96,2.13,0
147,KRIFO147,Krishna Foods,Energy,NSE,INE224039A72,2020-02-09,10,3383.84,228505.75,1.03,0
148,SHRFI148,Shree Finance,Realty,BSE,INE979461A92,2018-02-19,2,1514.31,230084.51,1.73,0
149,KRITE149,Krishna Telecom,FMCG,NSE,INE609748A88,2018-08-08,5,2326.63,389996.3,2.07,1
150,TRUBA150,Trust Bank,IT,NSE,INE692025A21,2019-03-12,10,1121.76,165054.56,0.83,1
151,PRICH151,Prime Chemicals,Telecom,BSE,INE627728A60,2016-03-25,2,1151.16,467432.09,0.55,0
152,STAME152,Star Metals,FMCG,BSE,INE595039A81,2021-11-16,2,2062.86,423317.32,0.54,1
153,APEFO153,Apex Foods,IT,NSE,INE987620A31,2016-09-04,1,49.05,69259.96,0.53,0
154,TRUTE154,Trust Textiles,Pharma,BSE,INE115567A67,2020-06-28,5,1007.5,158687.79,1.03,0
155,METBA155,Metro Bank,Telecom,BSE,INE199487A48,2015-02-03,2,623.48,452819.37,0.63,0
156,RELTE156,Reliable Telecom,IT,NSE,INE939155A68,2013-03-06,1,497.07,139257.84,1.13,1
157,BHAMO157,Bharat Motors,Realty,NSE,INE943854A12,2018-04-12,5,1550.82,158897.36,1.76,1
158,ZENIN158,Zenith Industries,Auto,NSE,INE735873A37,2014-12-05,5,435.36,108806.25,0.94,0
159,METTE159,Metro Textiles,Realty,NSE,INE166936A37,2019-10-19,1,634.07,27291.59,1.26,1
160,PIOMO160,Pioneer Motors,Metals,NSE,INE940167A47,2014-08-17,5,2681.49,239280.22,0.63,1
161,ROYME161,Royal Metals,Pharma,NSE,INE925861A20,2017-09-02,5,2612.34,377451.02,1.66,0
162,SUNTE162,Sun Technologies,FMCG,BSE,INE690621A48,2017-11-29,2,3781.17,330032.7,0.97,0
163,PRIIN163,Prime Infra Ltd,Metals,NSE,INE369513A58,2021-12-26,2,3682.69,13909.72,0.64,0
164,ROYPH164,Royal Pharma,Infra,NSE,INE652712A12,2016-05-22,5,3498.28,261739.11,2.12,0
165,NATMO165,National Motors,Telecom,NSE,INE688455A36,2015-02-05,10,2770.0,165211.54,1.79,0
166,RELPH166,Reliable Pharma,FMCG,BSE,INE823319A25,2017-12-15,10,1081.03,320930.16,1.57,1
167,APEFI167,Apex Finance,Pharma,BSE,INE357316A96,2021-05-29,2,729.07,202639.4,1.7,0
168,TRUIN168,Trust Infra Ltd,Infra,BSE,INE322403A21,2016-03-26,5,3798.68,490266.99,1.17,0
169,PIOIN169,Pioneer Infra Ltd,Realty,BSE,INE595376A65,2016-10-01,2,3839.32,414242.24,0.94,0
170,GLORE170,Global Realty,IT,NSE,INE610041A45,2014-05-17,1,2027.65,350215.42,1.3,0
171,PRICH171,Prime Chemicals,Realty,NSE,INE196617A35,2013-06-16,10,2202.69,257881.96,1.89,1
172,OMIN172,Om Industries,FMCG,NSE,INE150768A86,2020-07-30,2,41.38,295597.33,2.13,0
173,NOVRE173,Nova Realty,IT,BSE,INE333664A69,2020-01-31,2,611.37,221123.56,1.49,0
174,NOVTE174,Nova Technologies,IT,NSE,INE334207A65,2013-07-02,5,2193.06,397349.12,1.08,0
175,UNITE175,United Textiles,FMCG,NSE,INE182169A18,2021-10-27,5,743.54,454126.25,1.69,1
176,BHAST176,Bharat Steel,Pharma,NSE,INE384496A33,2013-11-15,2,1925.34,499547.65,1.65,0
177,UNIFO177,United Foods,Metals,BSE,INE389878A34,2021-06-18,1,3183.76,299455.27,0.85,0
178,APEPH178,Apex Pharma,IT,NSE,INE724729A48,2018-10-24,5,3207.1,340974.53,1.18,0
179,OMFO179,Om Foods,IT,BSE,INE238713A92,2021-08-15,10,3449.4,199991.27,0.64,1
180,STAMO180,Star Motors,Realty,BSE,INE671529A45,2013-03-29,1,958.13,4335.75,1.12,1
181,KRIEN181,Krishna Energy,Auto,NSE,INE558565A39,2018-01-01,1,1738.95,351648.06,1.77,0
182,STATE182,Star Telecom,Pharma,BSE,INE453680A16,2014-03-08,10,2514.84,467024.31,0.97,1
183,DELRE183,Delta Realty,Banking,NSE,INE848017A44,2022-09-09,5,2332.72,429826.31,1.54,0
184,DELPH184,Delta Pharma,Banking,NSE,INE726604A14,2022-08-08,5,3996.31,439322.52,0.99,0
185,PRIME185,Prime Metals,Pharma,NSE,INE182507A42,2017-09-06,2,1119.6,201122.76,0.66,0
186,GLOPH186,Global Pharma,Pharma,NSE,INE134214A96,2022-08-01,2,303.93,356804.41,1.73,0
187,BHATE187,Bharat Textiles,Energy,NSE,INE135268A59,2017-07-26,1,1563.69,319251.15,1.46,0
188,RELTE188,Reliable Technologies,Realty,BSE,INE415818A28,2015-12-08,10,2081.69,270513.31,1.89,1
189,KRICH189,Krishna Chemicals,IT,BSE,INE226531A36,2018-02-14,5,1561.21,75894.75,1.62,1
190,NATST190,National Steel,Auto,NSE,INE146076A60,2015-03-04,10,1291.07,287763.48,1.87,0
191,STAFO191,Star Foods,Auto,NSE,INE311312A11,2021-12-26,10,1043.89,149365.6,0.68,1
192,TRUIN192,Trust Infra Ltd,IT,NSE,INE203726A90,2020-07-08,1,1721.39,351824.23,1.51,1
193,TRURE193,Trust Realty,Auto,NSE,INE315695A61,2021-05-27,10,2763.02,472431.73,1.06,0
194,SUNME194,Sun Metals,Banking,BSE,INE468685A53,2018-01-07,2,612.49,363856.14,1.74,0
195,RELME195,Reliable Metals,FMCG,NSE,INE868655A73,2019-01-16,2,3464.83,129838.5,1.44,0
196,RELFI196,Reliable Finance,Metals,BSE,INE595953A27,2017-08-12,2,2571.67,232677.4,0.5,1
197,NATTE197,National Technologies,Pharma,BSE,INE864821A11,2021-06-22,2,447.33,282476.37,1.36,0
198,STATE198,Star Telecom,Metals,NSE,INE601742A64,2018-07-20,2,113.61,363103.8,1.74,0
199,GLOTE199,Global Telecom,IT,NSE,INE951307A24,2015-05-10,5,224.4,74008.97,0.87,1
200,SHRMO200,Shree Motors,Auto,BSE,INE359965A11,2022-04-24,2,379.67,262843.7,1.58,0
201,NOVRE201,Nova Realty,Infra,NSE,INE322307A92,2015-02-19,5,2581.29,430082.23,1.91,0
202,UNIME202,United Metals,Energy,NSE,INE107736A80,2020-10-25,2,3764.61,13891.27,0.52,0
203,STAIN203,Star Industries,Telecom,BSE,INE941402A20,2014-04-29,2,550.55,363817.43,1.44,0
204,ALPME204,Alpha Metals,Pharma,BSE,INE424525A89,2014-11-12,1,1151.64,440230.2,2.0,0
205,GLOPH205,Global Pharma,IT,BSE,INE748150A16,2018-07-14,10,3466.09,397902.28,0.63,0
206,PRIEN206,Prime Energy,Auto,BSE,INE879157A81,2022-04-10,1,2032.58,465926.38,0.88,1
207,BHABA207,Bharat Bank,Pharma,BSE,INE380595A46,2019-02-26,5,1719.99,391376.97,1.53,0
208,SUNFO208,Sun Foods,Metals,NSE,INE374355A56,2016-10-14,2,1903.46,259059.78,1.45,0
209,SHRST209,Shree Steel,FMCG,NSE,INE801575A69,2019-08-12,10,422.46,238519.45,1.83,0
210,KRITE210,Krishna Technologies,Metals,BSE,INE971582A18,2016-08-31,1,893.97,16016.66,1.53,0
211,GLOMO211,Global Motors,Banking,NSE,INE931610A90,2014-10-11,2,3848.83,9397.82,1.44,0
212,NATPH212,National Pharma,FMCG,BSE,INE443955A22,2013-06-11,5,2580.83,319770.5,1.21,1
213,GLOME213,Global Metals,Pharma,NSE,INE303100A93,2019-01-10,10,1159.42,137773.72,0.54,0
214,ZENEN214,Zenith Energy,Realty,BSE,INE108584A18,2013-02-18,1,3788.97,153616.97,1.46,0
215,DELRE215,Delta Realty,Pharma,BSE,INE165133A25,2020-07-08,10,1602.03,403552.12,0.68,1
216,ALPTE216,Alpha Technologies,Auto,BSE,INE810407A15,2013-07-23,1,580.64,55724.57,2.19,0
217,GLOFI217,Global Finance,FMCG,NSE,INE968315A45,2021-07-29,2,3861.96,141988.93,0.54,1
218,SUNST218,Sun Steel,Metals,NSE,INE578588A62,2017-08-05,10,2670.41,342550.78,0.54,1
219,ZENFI219,Zenith Finance,FMCG,NSE,INE830062A65,2016-04-12,2,3016.21,15380.06,1.82,0
220,ZENME220,Zenith Metals,Realty,NSE,INE154858A83,2022-08-02,5,109.6,259942.63,0.58,0
221,ALPTE221,Alpha Textiles,Banking,NSE,INE179343A57,2018-07-27,2,1146.92,42821.92,1.13,0
222,NATIN222,National Industries,Metals,BSE,INE879843A55,2020-03-25,10,3782.8,380852.23,2.07,0
223,SUNIN223,Sun Infra Ltd,Realty,BSE,INE477352A39,2014-11-08,1,638.99,317327.76,1.82,0
224,TRUIN224,Trust Infra Ltd,IT,NSE,INE806693A67,2018-04-02,10,3496.44,304315.12,0.82,1
225,ALPFO225,Alpha Foods,IT,BSE,INE829828A90,2021-12-18,1,3086.46,110720.4,0.85,1
226,APEFO226,Apex Foods,FMCG,NSE,INE632940A41,2022-08-12,5,1526.5,362376.88,1.47,0
227,SUNIN227,Sun Industries,Infra,NSE,INE634040A41,2022-10-07,2,3549.16,150909.41,1.28,0
228,DELRE228,Delta Realty,Pharma,BSE,INE284923A40,2022-08-19,10,3692.37,285450.31,0.61,0
229,NOVME229,Nova Metals,Auto,BSE,INE531134A30,2018-02-26,5,3470.13,46105.67,0.69,1
230,TRUME230,Trust Metals,Auto,BSE,INE383810A60,2019-10-07,1,1641.77,48133.65,1.85,0
231,KRITE231,Krishna Telecom,Pharma,NSE,INE221497A19,2020-12-01,1,2356.8,97075.72,1.02,1
232,GLOTE232,Global Textiles,Auto,NSE,INE796882A84,2019-02-18,5,1238.39,108080.93,1.84,0
233,RELTE233,Reliable Telecom,IT,NSE,INE382115A22,2018-08-19,5,537.21,63303.57,0.74,1
234,SHRMO234,Shree Motors,Realty,BSE,INE515186A25,2017-03-13,5,3610.41,59212.4,1.48,1
235,TRUIN235,Trust Infra Ltd,IT,NSE,INE889268A16,2018-01-10,2,3925.0,439527.6,1.31,0
236,NATTE236,National Telecom,Energy,NSE,INE553208A43,2013-09-06,5,253.17,277361.24,0.99,0
237,NOVPH237,Nova Pharma,FMCG,NSE,INE519880A77,2019-04-07,10,2757.2,311126.29,1.5,0
238,KRIIN238,Krishna Infra Ltd,Energy,NSE,INE335716A90,2019-02-04,1,3798.01,143982.1,0.62,1
239,RELME239,Reliable Metals,Energy,NSE,INE980217A48,2018-11-19,5,2439.51,27838.14,1.94,0
240,UNICH240,United Chemicals,Realty,BSE,INE447102A30,2022-07-10,10,207.44,484140.04,1.74,0
241,NOVEN241,Nova Energy,Realty,NSE,INE832314A74,2015-07-08,1,79.36,27108.67,0.92,0
242,SUNFI242,Sun Finance,Pharma,NSE,INE504842A71,2017-08-09,2,2026.33,411331.01,1.44,1
243,BHATE243,Bharat Telecom,Energy,BSE,INE431168A70,2019-01-07,5,3760.98,332576.71,2.02,0
244,UNIST244,United Steel,Pharma,NSE,INE838071A49,2019-06-05,10,1129.89,203819.76,1.16,0
245,BHATE245,Bharat Technologies,FMCG,NSE,INE699594A60,2017-10-27,5,1414.3,373323.99,1.05,0
246,OMTE246,Om Technologies,Pharma,BSE,INE165228A15,2013-12-30,10,3188.06,382389.72,1.84,1
247,ZENMO247,Zenith Motors,Energy,NSE,INE337046A32,2019-01-09,5,3210.61,439158.05,0.4,1
248,PIOCH248,Pioneer Chemicals,Metals,BSE,INE270894A92,2018-09-10,10,3775.68,272508.16,1.64,0
